x_mi,y_px,y_ft
0.417906,66.50,1537.5
0.419267,67.00,1541.8
0.420628,67.50,1546.2
0.421990,67.50,1546.2
0.423351,68.00,1550.5
0.424712,68.50,1554.8
0.426073,68.50,1554.8
0.427435,68.50,1554.8
0.428796,69.00,1559.2
0.430157,69.50,1563.5
0.431518,70.00,1567.9
0.432880,70.50,1572.2
0.434241,71.00,1576.5
0.435602,71.00,1576.5
0.436963,71.50,1580.9
0.438325,72.00,1585.2
0.439686,72.50,1589.6
0.441047,72.50,1589.6
0.442408,72.50,1589.6
0.443770,73.00,1593.9
0.445131,73.50,1598.3
0.446492,74.00,1602.6
0.447853,74.50,1606.9
0.449215,74.50,1606.9
0.450576,75.00,1611.3
0.451937,75.50,1615.6
0.453298,75.50,1615.6
0.454660,76.00,1620.0
0.456021,76.00,1620.0
0.457382,76.50,1624.3
0.458743,77.00,1628.6
0.460105,77.50,1633.0
0.461466,77.50,1633.0
0.462827,77.50,1633.0
0.464188,78.50,1641.7
0.465550,78.50,1641.7
0.466911,79.00,1646.0
0.468272,79.50,1650.4
0.469634,80.00,1654.7
0.470995,80.50,1659.0
0.472356,80.50,1659.0
0.473717,81.00,1663.4
0.475079,81.50,1667.7
0.476440,81.50,1667.7
0.477801,82.00,1672.1
0.479162,82.50,1676.4
0.480524,82.50,1676.4
0.481885,82.50,1676.4
0.483246,83.50,1685.1
0.484607,83.50,1685.1
0.485969,83.50,1685.1
0.487330,83.50,1685.1
0.488691,84.50,1693.8
0.490052,84.50,1693.8
0.491414,85.00,1698.1
0.492775,85.50,1702.5
0.494136,85.50,1702.5
0.495497,86.00,1706.8
0.496859,86.50,1711.1
0.498220,86.50,1711.1
0.499581,87.50,1719.8
0.500942,87.50,1719.8
0.502304,88.00,1724.2
0.503665,88.00,1724.2
0.505026,89.00,1732.9
0.506387,89.50,1737.2
0.507749,89.50,1737.2
0.509110,90.50,1745.9
0.510471,90.50,1745.9
0.511832,91.00,1750.2
0.513194,91.50,1754.6
0.514555,91.50,1754.6
0.515916,92.50,1763.2
0.517277,93.00,1767.6
0.518639,93.00,1767.6
0.520000,94.00,1776.3
0.521361,94.50,1780.6
0.522723,94.50,1780.6
0.524084,95.00,1785.0
0.525445,95.50,1789.3
0.526806,96.00,1793.6
0.528168,96.50,1798.0
0.529529,96.50,1798.0
0.530890,97.00,1802.3
0.532251,97.50,1806.7
0.533613,97.50,1806.7
0.534974,98.00,1811.0
0.536335,98.50,1815.4
0.537696,99.00,1819.7
0.539058,100.00,1828.4
0.540419,100.00,1828.4
0.541780,100.50,1832.7
0.543141,100.50,1832.7
0.544503,101.00,1837.1
0.545864,101.50,1841.4
0.547225,102.00,1845.7
0.548586,102.50,1850.1
0.549948,102.50,1850.1
0.551309,103.00,1854.4
0.552670,103.50,1858.8
0.554031,103.50,1858.8
0.555393,103.50,1858.8
0.556754,103.50,1858.8
0.558115,103.50,1858.8
0.559476,103.50,1858.8
0.560838,103.50,1858.8
0.562199,103.50,1858.8
0.563560,103.50,1858.8
0.564921,103.50,1858.8
0.566283,104.50,1867.5
0.567644,104.50,1867.5
0.569005,105.00,1871.8
0.570366,105.50,1876.1
0.571728,106.00,1880.5
0.573089,106.50,1884.8
0.574450,106.50,1884.8
0.575812,107.50,1893.5
0.577173,107.50,1893.5
0.578534,107.50,1893.5
0.579895,108.50,1902.2
0.581257,109.00,1906.5
0.582618,109.50,1910.9
0.583979,109.50,1910.9
0.585340,109.50,1910.9
0.586702,110.50,1919.6
0.588063,110.50,1919.6
0.589424,110.50,1919.6
0.590785,111.00,1923.9
0.592147,111.50,1928.2
0.593508,112.00,1932.6
0.594869,112.50,1936.9
0.596230,112.50,1936.9
0.597592,113.50,1945.6
0.598953,113.50,1945.6
0.600314,114.00,1949.9
0.601675,114.50,1954.3
0.603037,115.00,1958.6
0.604398,115.50,1963.0
0.605759,116.00,1967.3
0.607120,116.00,1967.3
0.608482,116.50,1971.7
0.609843,117.00,1976.0
0.611204,117.50,1980.3
0.612565,118.00,1984.7
0.613927,118.50,1989.0
0.615288,119.00,1993.4
0.616649,119.50,1997.7
0.618010,119.50,1997.7
0.619372,120.00,2002.1
0.620733,120.50,2006.4
0.622094,120.50,2006.4
0.623455,121.50,2015.1
0.624817,121.50,2015.1
0.626178,122.00,2019.4
0.627539,122.50,2023.8
0.628901,123.00,2028.1
0.630262,123.50,2032.4
0.631623,124.00,2036.8
0.632984,124.00,2036.8
0.634346,124.50,2041.1
0.635707,124.50,2041.1
0.637068,125.00,2045.5
0.638429,126.00,2054.2
0.639791,126.00,2054.2
0.641152,126.50,2058.5
0.642513,126.50,2058.5
0.643874,127.00,2062.8
0.645236,127.50,2067.2
0.646597,127.50,2067.2
0.647958,128.00,2071.5
0.649319,128.50,2075.9
0.650681,129.00,2080.2
0.652042,129.50,2084.5
0.653403,129.50,2084.5
0.654764,130.00,2088.9
0.656126,130.50,2093.2
0.657487,131.00,2097.6
0.658848,131.50,2101.9
0.660209,132.00,2106.3
0.661571,132.00,2106.3
0.662932,133.00,2114.9
0.664293,133.00,2114.9
0.665654,133.50,2119.3
0.667016,134.00,2123.6
0.668377,134.50,2128.0
0.669738,134.50,2128.0
0.671099,135.00,2132.3
0.672461,135.50,2136.6
0.673822,136.00,2141.0
0.675183,136.50,2145.3
0.676545,136.50,2145.3
0.677906,136.50,2145.3
0.679267,136.50,2145.3
0.680628,137.00,2149.7
0.681990,137.00,2149.7
0.683351,136.50,2145.3
0.684712,137.50,2154.0
0.686073,137.50,2154.0
0.687435,137.50,2154.0
0.688796,137.50,2154.0
0.690157,137.50,2154.0
0.691518,138.00,2158.4
0.692880,138.50,2162.7
0.694241,138.50,2162.7
0.695602,139.00,2167.0
0.696963,139.50,2171.4
0.698325,140.00,2175.7
0.699686,140.50,2180.1
0.701047,140.50,2180.1
0.702408,140.50,2180.1
0.703770,140.50,2180.1
0.705131,140.50,2180.1
0.706492,141.50,2188.8
0.707853,141.50,2188.8
0.709215,142.00,2193.1
0.710576,142.00,2193.1
0.711937,142.50,2197.4
0.713298,143.50,2206.1
0.714660,143.50,2206.1
0.716021,144.00,2210.5
0.717382,144.50,2214.8
0.718743,145.00,2219.1
0.720105,145.50,2223.5
0.721466,145.50,2223.5
0.722827,146.00,2227.8
0.724188,146.50,2232.2
0.725550,147.00,2236.5
0.726911,147.50,2240.9
0.728272,148.00,2245.2
0.729634,149.00,2253.9
0.730995,149.00,2253.9
0.732356,150.00,2262.6
0.733717,150.00,2262.6
0.735079,150.50,2266.9
0.736440,151.00,2271.2
0.737801,151.50,2275.6
0.739162,151.50,2275.6
0.740524,152.00,2279.9
0.741885,152.50,2284.3
0.743246,153.00,2288.6
0.744607,153.50,2293.0
0.745969,153.50,2293.0
0.747330,153.50,2293.0
0.748691,153.50,2293.0
0.750052,153.50,2293.0
0.751414,153.50,2293.0
0.752775,154.50,2301.6
0.754136,154.50,2301.6
0.755497,154.50,2301.6
0.756859,154.50,2301.6
0.758220,155.00,2306.0
0.759581,155.50,2310.3
0.760942,155.50,2310.3
0.762304,155.50,2310.3
0.763665,155.50,2310.3
0.765026,155.50,2310.3
0.766387,156.50,2319.0
0.767749,156.50,2319.0
0.769110,156.50,2319.0
0.770471,157.00,2323.4
0.771832,157.50,2327.7
0.773194,158.00,2332.0
0.774555,158.50,2336.4
0.775916,159.00,2340.7
0.777277,160.00,2349.4
0.778639,160.00,2349.4
0.780000,161.00,2358.1
0.781361,161.50,2362.4
0.782723,162.00,2366.8
0.784084,162.50,2371.1
0.785445,163.00,2375.5
0.786806,163.50,2379.8
0.788168,164.00,2384.1
0.789529,164.50,2388.5
0.790890,165.00,2392.8
0.792251,165.00,2392.8
0.793613,165.50,2397.2
0.794974,166.00,2401.5
0.796335,166.50,2405.8
0.797696,166.50,2405.8
0.799058,167.50,2414.5
0.800419,167.50,2414.5
0.801780,168.00,2418.9
0.803141,168.50,2423.2
0.804503,168.50,2423.2
0.805864,169.00,2427.6
0.807225,169.50,2431.9
0.808586,170.00,2436.2
0.809948,170.00,2436.2
0.811309,171.00,2444.9
0.812670,171.50,2449.3
0.814031,171.50,2449.3
0.815393,172.50,2457.9
0.816754,172.50,2457.9
0.818115,172.50,2457.9
0.819476,172.50,2457.9
0.820838,173.00,2462.3
0.822199,173.50,2466.6
0.823560,174.00,2471.0
0.824921,174.50,2475.3
0.826283,174.50,2475.3
0.827644,174.50,2475.3
0.829005,174.50,2475.3
0.830366,174.50,2475.3
0.831728,174.50,2475.3
0.833089,174.50,2475.3
0.834450,174.50,2475.3
0.835812,174.50,2475.3
0.837173,174.50,2475.3
0.838534,174.50,2475.3
0.839895,174.50,2475.3
0.841257,174.50,2475.3
0.842618,174.50,2475.3
0.843979,174.50,2475.3
0.845340,174.50,2475.3
0.846702,175.00,2479.7
0.848063,175.00,2479.7
0.849424,175.50,2484.0
0.850785,175.50,2484.0
0.852147,175.50,2484.0
0.853508,176.50,2492.7
0.854869,176.50,2492.7
0.856230,177.00,2497.0
0.857592,178.00,2505.7
0.858953,178.50,2510.1
0.860314,179.00,2514.4
0.861675,179.50,2518.7
0.863037,180.00,2523.1
0.864398,180.50,2527.4
0.865759,181.50,2536.1
0.867120,182.00,2540.4
0.868482,183.00,2549.1
0.869843,183.50,2553.5
0.871204,184.00,2557.8
0.872565,184.00,2557.8
0.873927,185.00,2566.5
0.875288,185.50,2570.8
0.876649,185.50,2570.8
0.878010,186.50,2579.5
0.879372,186.50,2579.5
0.880733,187.00,2583.9
0.882094,188.00,2592.5
0.883455,189.00,2601.2
0.884817,189.00,2601.2
0.886178,190.00,2609.9
0.887539,190.50,2614.3
0.888901,190.50,2614.3
0.890262,190.50,2614.3
0.891623,191.00,2618.6
0.892984,191.00,2618.6
0.894346,191.50,2622.9
0.895707,192.00,2627.3
0.897068,192.50,2631.6
0.898429,193.00,2636.0
0.899791,193.50,2640.3
0.901152,194.00,2644.6
0.902513,194.50,2649.0
0.903874,194.50,2649.0
0.905236,195.00,2653.3
0.906597,195.50,2657.7
0.907958,195.50,2657.7
0.909319,195.50,2657.7
0.910681,195.50,2657.7
0.912042,195.50,2657.7
0.913403,195.50,2657.7
0.914764,195.00,2653.3
0.916126,195.50,2657.7
0.917487,195.50,2657.7
0.918848,195.50,2657.7
0.920209,195.50,2657.7
0.921571,195.50,2657.7
0.922932,196.00,2662.0
0.924293,196.50,2666.4
0.925654,197.00,2670.7
0.927016,197.00,2670.7
0.928377,197.50,2675.0
0.929738,198.00,2679.4
0.931099,198.50,2683.7
0.932461,198.50,2683.7
0.933822,199.00,2688.1
0.935183,199.00,2688.1
0.936545,198.50,2683.7
0.937906,198.50,2683.7
0.939267,198.00,2679.4
0.940628,197.50,2675.0
0.941990,197.50,2675.0
0.943351,197.50,2675.0
0.944712,197.50,2675.0
0.946073,197.50,2675.0
0.947435,197.50,2675.0
