x_mi,y_px,y_ft
1.107307,273.00,1902.9
1.109812,274.00,1909.0
1.112317,274.50,1912.1
1.114823,275.50,1918.3
1.117328,277.00,1927.5
1.119833,277.50,1930.6
1.122338,278.50,1936.8
1.124843,279.00,1939.9
1.127349,279.50,1942.9
1.129854,280.00,1946.0
1.132359,280.50,1949.1
1.134864,281.00,1952.2
1.137370,281.00,1952.2
1.139875,281.00,1952.2
1.142380,281.00,1952.2
1.144885,282.00,1958.4
1.147390,282.00,1958.4
1.149896,282.00,1958.4
1.152401,282.50,1961.4
1.154906,283.00,1964.5
1.157411,283.00,1964.5
1.159916,283.00,1964.5
1.162422,283.50,1967.6
1.164927,283.50,1967.6
1.167432,284.50,1973.8
1.169937,286.00,1983.0
1.172443,286.50,1986.1
1.174948,287.50,1992.3
1.177453,288.00,1995.3
1.179958,289.50,2004.6
1.182463,290.00,2007.7
1.184969,290.00,2007.7
1.187474,290.00,2007.7
1.189979,290.50,2010.8
1.192484,291.00,2013.8
1.194990,291.50,2016.9
1.197495,292.00,2020.0
